"Frequency Output","Frequency Input","FCC Callsign",Agency/Category,Description,"Alpha Tag","PL Output Tone","PL Input Tone",Mode,"Class Station Code",Tag
146.700000,146.10000,,SKYWARN,"Secondary Repeater","KC SkyWarn 2","107.2 PL","107.2 PL",FM,RM,Ham
147.270000,147.87000,,SKYWARN,"Primary Repeater","KC SkyWarn 1",CSQ,CSQ,FM,RM,Ham
151.010000,0.00000,WPMR319,Greenwood,"Police: Dispatch [Simulcast of MARRS TG 34361]","Grnwd Police","411 DPL",,FMN,BM,"Law Dispatch"
151.175000,0.00000,WPNY906,"Grain Valley","Police: Dispatch [Simulcast of MARRS TG 34361]","GVal Police","210.7 PL",,FMN,BM,"Law Dispatch"
151.340000,153.86000,KNJG679,Government,"Park Rangers [Expired 12/24]","Jackson Parks","186.2 PL",,FMN,RM,"Law Tac"
151.570000,0.00000,,"Businesses Miscellaneous","Walmart Super Center (Ch 6)","WalMart Ch 6","131 DPL",,FMN,M,Business
151.595000,159.99000,WPZT299,"Independence Public Schools","Truman High School: Bus / Security","TrumanHigh A","22 RAN",,NXDN48,RM,Schools
151.600000,0.00000,,"Businesses Miscellaneous","Walmart Super Center (Ch 7)","WalMart Ch 7","131 DPL",,FMN,M,Business
151.820000,0.00000,,"Businesses Miscellaneous","Walmart Super Center (Ch 3) (LP uses this a lot)","WalMart Ch 3","131 DPL",,FMN,M,Business
151.880000,0.00000,,"Businesses Miscellaneous","Walmart Super Center (Ch 4)","WalMart Ch 4","131 DPL",,FMN,M,Business
151.940000,0.00000,,"Businesses Miscellaneous","Walmart Super Center (Ch 5)","WalMart Ch 5","131 DPL",,FMN,M,Business
154.040000,0.00000,WZX525,Raytown,"Parks and Recreation [Expired 7/14]","Raytown Parks","167.9 PL",,FMN,BM,"Public Works"
154.130000,153.90500,KNIS980,"Mid-America Regional Council","MERS: Metropolitan Emergency Radio Service - Link w/ NWS","MERS Radio","151.4 PL",,FMN,RM,"Emergency Ops"
154.160000,0.00000,WPRV825,"Central Jackson County Fire Protection District","Fire: Operations 2","CJCFPD Ops2","162.2 PL",,FMN,BM,Fire-Tac
154.220000,0.00000,WPRV825,"Central Jackson County Fire Protection District","Fire: Operations 1","CJCFPD Ops1","162.2 PL",,FMN,BM,Fire-Tac
154.265000,0.00000,,"Central Jackson County Fire Protection District","Fire: Command 1","CJCFPD Com1",,,FMN,M,Fire-Tac
154.295000,0.00000,,"Central Jackson County Fire Protection District","Fire: Command 2","CJCFPD Com2",,,FMN,M,Fire-Tac
154.370000,0.00000,WPRV825,"Central Jackson County Fire Protection District","Fire: Dispatch","CJCFPD Disp","162.2 PL",,FMN,BM,"Fire Dispatch"
154.370000,0.00000,KNDW216,"Fort Osage Fire Protection District",Fire,"FIre 154.37",,,FMN,BM,Fire-Tac
154.385000,158.80500,WPBQ636,"Inter City/Blue Summit","Fire: Dispatch/Ops [Ch 1]",IntrCityFire,"103.5 PL",,FMN,RM,"Fire Dispatch"
154.430000,156.09000,KVI536,"Lake Lotawana","Fire: Dispatch","LakLot Fire","173.8 PL",,FMN,RM,"Fire Dispatch"
154.430000,0.00000,KNDW216,"Fort Osage Fire Protection District","Fire: Dispatch - Base (DB: Lee's Summit)","FtO Fire Bas","173.8 PL",,FMN,BM,"Fire Dispatch"
154.430000,0.00000,KNDW216,"Fort Osage Fire Protection District","Fire: Dispatch - Units (DB: Lee's Summit)","FtO Fire Mob","88.5 PL",,FMN,BM,"Fire Dispatch"
154.430000,0.00000,KNDW216,"Fort Osage Fire Protection District","Fire: Dispatch - All  (DB: Lee's Summit)","FtO Fire CSQ",CSQ,,FMN,BM,"Fire Dispatch"
154.570000,0.00000,,"Businesses Miscellaneous","Walmart Super Center (Ch 1) (used by all Metro area stores)","WalMart Ch 1",CSQ,,FMN,M,Business
154.600000,0.00000,,"Businesses Miscellaneous","Walmart Super Center (Ch 2)","WalMart Ch 2",CSQ,,FMN,M,Business
154.755000,0.00000,WNBX955,Government,"Detention Center [Ch 2] [Expired 8/24]","Jack Det Cntr 2","110.9 PL",,FMN,BM,Corrections
154.815000,0.00000,KGW670,"Blue Springs","Police: Tactical [Ch 2]","BSpr PD Tac 2 ","162.2 PL",,FMN,M,"Law Tac"
154.815000,0.00000,WQAX848,"Central Jackson County Fire Protection District","Fire: Operations","CJCFPD Ops3",,,FMN,F,Fire-Tac
154.865000,0.00000,WPDC663,"Blue Springs","Police: Ops [Ch 3]","BSpr PD Ops 3","162.2 PL",,FMN,BM,"Law Tac"
154.935000,0.00000," ","Missouri Statewide Wireless Interoperable Network (MOSWIN)","Site 024 Independence",,,,"Project 25",,TRS
155.085000,0.00000,WPNY906,"Grain Valley","Police: Car-to-Car","GVal PD C2C",CSQ,,FMN,M,"Law Tac"
155.115000,0.00000,KLP764,"Oak Grove","Public Works / EMA / Warning Sirens","OakG PubWrks","146.2 PL",,FMN,BM,Multi-Dispatch
155.310000,159.15000,KVI536,"Lake Lotawana","Fire: Local [Ch 2]","LakLot Fire 2","97.4 PL",,FMN,RM,Fire-Tac
155.340000,0.00000,WQFP648,"Hospitals University Health Lakewood Medical Center","Jackson County Public Health Clinic [Expired 9/16]",HEAR340,,,FMN,BM,Hospital
155.542500,158.91750,KDT360,"Sugar Creek","Police / Fire: Dispatch [Expired 9/21]","SCrk Police/Fire","141.3 PL",,FMN,RM,Multi-Dispatch
155.625000,153.74000,WPCQ804,"Lake Lotawana","Police: Tactical [Ch 4] [Expired 7/22]","LLot Police4","114.8 PL",,FMN,RM,"Law Tac"
155.745000,0.00000,KGW671,"Blue Springs","Public Works / Water","BSpr PubWrks","162.2 PL",,FMN,BM,"Public Works"
155.745000,0.00000,WQAX848,"Central Jackson County Fire Protection District","Fire: Operations","CJCFPD Ops4",,,FMN,F,Fire-Tac
155.752500,0.00000,,Buckner,"Conservation (assumed on VTAC 10)","Buck Cons",,,FMN,M,"Public Works"
155.775000,0.00000,WQAE576,Buckner,"Police: Car-to-Car","Buck PD c2c",,,FMN,BM,"Law Tac"
155.790000,0.00000,KAH757,Government,"Law: Dispatch (for Lake Lotawana, Lake Tapawingo, Lone Jack) [Simulcast of MARRS TG 34361] <b>[Expired 6/23]","Jackson Law","156.7 PL",,FMN,BM,"Law Dispatch"
155.865000,154.72500,WPDC663,"Blue Springs","Police: Dispatch","BSpr Police","162.2 PL",,FMN,RM,"Law Dispatch"
155.880000,158.95500,KDT360,"Sugar Creek","Public Works [Expired 9/21]","SCrk PublicWorks","141.3 PL",,FMN,BM,"Public Works"
155.902500,159.46500,WQGX290,"Lone Jack","Police: Local","LJck Police",,,FMN,RM,"Law Dispatch"
155.940000,0.00000,WZN205,"Lees Summit","Street Department","LS Streets","186.2 PL",,FMN,BM,"Public Works"
