Decimal,Hex,Alpha Tag,Mode,Description,Tag,Category
201260,3122c,"Farm 2001260","T","Farming Ops","Business","Grundy County MO"
2001126,1e88e6,"BaylessConcrete","T","Bayless Concrete ","Business","Topeka / Shawnee County KS"
2001130,1e88ea,"TFM Electronics","T","TFM Electronics","Business","Topeka / Shawnee County KS"
2001145,1e88f9,"farming 2001145","T","farming operations","Business","Miscellaneous"
2001200,1e8930,"Platte-Clay Elec","T","Platte-Clay Electric Coop (Clay County)","Utilities","Kansas City"
2001215,1e893f,"sch bus 2001215","T","school bus (with 2001370)","Schools","Miscellaneous"
2001218,1e8942,"Apple Bus 1218","T","Apple Bus (Smithton School District route)","Schools","Pettis County MO"
2001219,1e8943,"Apple Bus 1219","T","Apple Bus (Smithton School District route)","Schools","Pettis County MO"
2001250,1e8962,"Gerken Rent-All","T","Gerken Rent-All","Business","Miscellaneous"
2001251,1e8963,"trashSvc 2001251","T","trash service","Business","Kansas City"
2001285,1e8985,"Farm 2001285","T","Farming Ops","Business","Grundy County MO"
2001330,1e89b2,"Freestate Elec30","T","Freestate Electrical Cooperative","Utilities","Topeka / Shawnee County KS"
2001331,1e89b3,"Freestate Elec31","T","Freestate Electrical Cooperative","Utilities","Topeka / Shawnee County KS"
2001370,1e89da,"sch bus 2001370","T","school bus - Savannah? (with 2001215)","Schools","Miscellaneous"
2001471,1e8a3f,"Butterfd Grain","T","Butterfield and Assoc Grain operations","Business","Linn County MO"
2001902,1e8bee,"sch bus 2001902","T","school bus","Schools","Miscellaneous"
2002200,1e8d18,"farmers 2002200","T","farmers","Business","Kansas City"
2002500,1e8e44,"vet 2002500","T","veterinarian ","Business","Kansas City"
2003110,1e90a6,"towing 2003110","T","towing company","Business","St Joseph / Buchanan County MO"
2003270,1e9146,"Brkfld Twp Roads","T","Brookfield Township Road Maintenance (MO)","Public Works","Linn County MO"
2003300,1e9164,"Bus 2003300","T","school buses","Schools","Pettis County MO"
2003340,1e918c,"bus 2003340","T","bus","Transportation","Kansas City"
