Decimal,Hex,Alpha Tag,Mode,Description,Tag,Category
2900170,2c40ca,"Ottawa Bus","T","Ottawa USD290 Buses","Schools","Franklin County KS"
2900180,2c40d4,"rock 2900180","T","rock hauling","Business","Miscellaneous"
2901020,2c441c,"rock 6101020","T","rock hauling","Business","Kansas City"
2901040,2c4430,"rock 6101040","T","rock hauling","Business","Kansas City"
2901061,2c4445,"Yellow Trans Top","T","Yellow Transportation","Transportation","Topeka / Shawnee County KS"
2901400,2c4598,"buses 2901400 ","T","buses (Topeka)","Transportation","Topeka / Shawnee County KS"
6100301,5d154d,"concrete 6100301","T","concrete delivery","Business","Kansas City"
6101401,5d1999,"Midwest Shred","T","Midwest Shredding Service","Business","Kansas City"
6101701,5d1ac5,"Express Tow","T","Express Tow","Business","Kansas City"
6102501,5d1de5,"towing 6102501","T","towing company","Business","Kansas City"
6103006,5d1fde,"plumbing 6103006","T","plumbing company","Business","Kansas City"
6104001,5d23c1,"Quicksilver 1","T","Quicksilver Readymix 1","Business","Kansas City"
6104002,5d23c2,"Quicksilver 2","T","Quicksilver Readymix 2","Business","Kansas City"
6104003,5d23c3,"Quicksilver 3","T","Quicksilver Readymix 3","Business","Kansas City"
6104004,5d23c4,"Quicksilver 4","T","Quicksilver Readymix 4","Business","Kansas City"
6104401,5d2551,"trucking 6104401","T","trucking company","Business","Kansas City"
6105101,5d280d,"Geiger ReadyMix1","T","Geiger Ready-Mix 1","Business","Kansas City"
6105102,5d280e,"Geiger ReadyMix2","T","Geiger Ready-Mix 2","Business","Kansas City"
6105103,5d280f,"Geiger ReadyMix3","T","Geiger Ready-Mix 3","Business","Kansas City"
6105104,5d2810,"Geiger ReadyMix4","T","Geiger Ready-Mix 4","Business","Kansas City"
6105105,5d2811,"Geiger ReadyMix5","T","Geiger Ready-Mix 5","Business","Kansas City"
6105106,5d2812,"Geiger ReadyMix6","T","Geiger Ready-Mix 6","Business","Kansas City"
6105107,5d2813,"Geiger ReadyMix7","T","Geiger Ready-Mix 7","Business","Kansas City"
6108001,5d3361,"towing 6108001","T","towing company","Business","Kansas City"
6108301,5d348d,"medtrans 6108301","T","medical transportation","Transportation","Kansas City"
6108501,5d3555,"bus 6108501","T","bus","Transportation","Kansas City"
6109101,5d37ad,"KC Streetcar 1","T","Train Ops 1","Transportation","Kansas City Streetcar"
6109102,5d37ae,"KC Streetcar 2","T","Train Ops 2","Transportation","Kansas City Streetcar"
6109103,5d37af,"KC Streetcar 3","T","Train Ops 3","Transportation","Kansas City Streetcar"
6109301,5d3875,"dumpTrks 6109301","T","dump trucks","Business","Kansas City"
6109501,5d393d,"aircraft 6109501","T","aircraft operations","Business","Kansas City"
6110001,5d3b31,"Grandview Bus","T","Grandview School District Buses","Schools","Jackson County MO"
6111001,5d3f19,"concrete 6111001","T","concrete (w/ 6105104)","Business","Kansas City"
6111301,5d4045,"trucking 6111301","T","trucking company","Business","Kansas City"
6111501,5d410d,"LifeFlightEagle1","T","LifeFlight Eagle 1","EMS Dispatch","LifeFlight Eagle"
6111502,5d410e,"LifeFlightEagle2","T","LifeFlight Eagle 2","EMS Dispatch","LifeFlight Eagle"
6111503,5d410f,"LifeFlightEagle3","T","LifeFlight Eagle 3","EMS Dispatch","LifeFlight Eagle"
6112101,5d4365,"trucking 6112101","T","trucking company (w/6112102)","Business","Kansas City"
6112102,5d4366,"trucking 6112102","T","trucking company (w/6112101)","Business","Kansas City"
6112301,5d442d,"HookNBook Tow","T","Hook N Book Towing","Business","Kansas City"
6112702,5d45be,"security 6112702","T","private security","Security","Kansas City"
6112901,5d4685,"towing 6112901","T","towing company","Business","Kansas City"
6113101,5d474d,"security 6113101","T","building security (KC area)","Security","Kansas City"
6115501,5d50ad,"trucking 6115501","T","trucking company","Business","Kansas City"
6115502,5d50ae,"trucking 6115502","T","trucking company (loading)","Business","Kansas City"
6116801,5d55c1,"bus 6116801","T","bus","Transportation","Kansas City"
6117701,5d5945,"medtrans 6117701","T","medical transportation","Transportation","Kansas City"
6118501,5d5c65,"FirstStudentPH","T","First Student Buses (Park Hill School Dist.)","Schools","Platte County MO"
6119401,5d5fe9,"medtrans 6119401","T","medical transportation","Transportation","Kansas City"
6119403,5d5feb,"medtrans 6119403","T","medical transportation","Transportation","Kansas City"
6119405,5d5fed,"medtrans 6119405","T","medical transportation","Transportation","Kansas City"
6119601,5d60b1,"KC Pet Project","T","KC Pet Project","Business","Kansas City"
