"Frequency Output","Frequency Input","FCC Callsign",Agency/Category,Description,"Alpha Tag","PL Output Tone","PL Input Tone",Mode,"Class Station Code",Tag
108.600000,0.00000,,"Charles B. Wheeler Kansas City Downtown Airport (MKC) Operations",VOT,"MKC VOT",CSQ,,AM,BM,Aircraft
109.900000,0.00000,,"Charles B. Wheeler Kansas City Downtown Airport (MKC) Operations","ILS to Runway 19","MKC ILS R-19",CSQ,,AM,BM,Aircraft
111.400000,0.00000,,"Charles B. Wheeler Kansas City Downtown Airport (MKC) Operations","Riverside VOR (located on airport)",RiversideVOR,CSQ,,AM,BM,Aircraft
111.750000,0.00000,,"Charles B. Wheeler Kansas City Downtown Airport (MKC) Operations","ILS to Runway 3","MKC ILS R-3k",CSQ,,AM,BM,Aircraft
118.400000,0.00000,,"Charles B. Wheeler Kansas City Downtown Airport (MKC) Operations","Kansas City Departure/Arrival","MKC Dep/Arr",CSQ,,AM,BM,Aircraft
120.075000,0.00000,,"Charles B. Wheeler Kansas City Downtown Airport (MKC) Operations","Automated Terminal Information Service","MKC ATIS",CSQ,,AM,BM,Aircraft
121.900000,0.00000,,"Charles B. Wheeler Kansas City Downtown Airport (MKC) Operations","Ground Control","MKC Ground",CSQ,,AM,BM,Aircraft
122.600000,0.00000,,"Charles B. Wheeler Kansas City Downtown Airport (MKC) Operations","Columbia Radio (Remote Communication)",ColumbiaRmte,CSQ,,AM,BM,Aircraft
122.950000,0.00000,WQRK355,"Charles B. Wheeler Kansas City Downtown Airport (MKC) Operations",Unicom,"MKC UNICOM",CSQ,,AM,BM,Aircraft
123.950000,0.00000,,"Charles B. Wheeler Kansas City Downtown Airport (MKC) Operations","Kansas City Departure/Arrival","MKC Arr/Dep",CSQ,,AM,BM,Aircraft
129.100000,0.00000,WQKE552,"Charles B. Wheeler Kansas City Downtown Airport (MKC) Operations","Hangar 10 (NW side of airport)","MKC Hangar10",CSQ,,AM,BM,Aircraft
129.575000,0.00000,KXZ9,"Charles B. Wheeler Kansas City Downtown Airport (MKC) Operations","Executive Beechcraft (SE side of airport)",ExecBchcraft,CSQ,,AM,BM,Aircraft
133.300000,0.00000,,"Charles B. Wheeler Kansas City Downtown Airport (MKC) Operations",Tower,"MKC Tower",CSQ,,AM,BM,Aircraft
145.190000,0.00000," ","Missouri BrandMeister DMR","Site 121 Excelsior Springs",,,,DMR,,TRS
146.700000,146.10000,,SKYWARN,"Secondary Repeater","KC SkyWarn 2","107.2 PL","107.2 PL",FM,RM,Ham
147.270000,147.87000,,SKYWARN,"Primary Repeater","KC SkyWarn 1",CSQ,CSQ,FM,RM,Ham
150.995000,159.13500,KDB474,"Clay County","Public Works / Roads","Clay Co Roads","155 DPL",,FMN,RM,"Public Works"
151.145000,0.00000,WNPU820,Smithville,"City Operations","Smthvl City1",,,FMN,BM,Multi-Dispatch
151.385000,0.00000,,"Excelsior Springs",Fire,"ExSp Fire 3","103.5 PL",,FMN,BM,Fire-Tac
151.685000,0.00000,WPAN369,"Liberty Hospital","Operations [Expired 9/12]","LibHosp Ops 1",,,FMN,BM,Business
151.925000,0.00000,WSF221,"St Lukes Northland Hospital (Smithville)",Operations,"SLNH Ops",,,FMN,BM,Business
153.230000,0.00000,WQRL660,"Lawson Schools","Durham School Bus: Lawson District [Expired 6/23]","Lawson Sch Bus","413 DPL",,FMN,BM,Schools
153.830000,0.00000,KAH459,Smithville,Fireground,SmithvilleFG,,,FMN,M,Fire-Tac
154.130000,153.90500,WNBC651,"Mid-America Regional Council","MERS: Metropolitan Emergency Radio Service - Link w/ NWS [Expired 2/15]","MERS KC Link/NWS","151.4 PL",,FMN,RM,"Emergency Ops"
154.175000,0.00000,WQU470,Mosby,"Fishing River Fire Protection Dispatch [Expired 1/11]","FishRiver Fire","118.8 PL",,FMN,BM,"Fire Dispatch"
154.190000,0.00000,,"Clay County","Fire: Dispatch","Clay Co Fire",,,FMN,BM,"Fire Dispatch"
154.190000,0.00000,KAH459,Smithville,"Fire: Link to Platte County","Platte Fire",,,FMN,BM,"Fire Dispatch"
154.340000,159.04500,WPKZ345,Holt,"Fire: Dispatch","Holt Fire","315 DPL",,FMN,RM,"Fire Dispatch"
154.710000,0.00000,KIZ311,Liberty,"Fire: Dispatch","Liberty Fire","162.2 PL",,FMN,BM,"Fire Dispatch"
154.740000,158.97750,KLK658,Liberty,"Police: Tactical [Expired 6/14]","Lib Police Tac","156.7 PL",,FMN,RM,"Law Tac"
154.800000,159.03750,KLK658,Liberty,"Police: Dispatch [Expired 6/14]","Lib Police","167.9 PL",,FMN,RM,"Law Dispatch"
154.965000,0.00000,KRJ858,"Clay County","(OLD?) Law","Clay Sheriff 5",,,FMN,BM,"Law Dispatch"
154.965000,0.00000,KUZ692,"Clay County","EMA [Expired 6/23]","Clay Co EMA",,,FMN,BM,"Emergency Ops"
155.010000,0.00000,WPKH795,"Excelsior Springs","(Old) Police","ExSp PD Coun","103.5 PL",,FMN,BM,"Law Tac"
155.055000,0.00000,WPCP682,"Northwest Regional Youth Center DSS (Kansas City)",Operations,"NWRYC Ops",,,FMN,M,Corrections
155.085000,0.00000,KLK659,Liberty,"Services / Police [Ch 2]","Lib Services","162.2 PL",,FMN,BM,"Law Talk"
155.100000,0.00000,,"Excelsior Springs",Fire,"ExSp Fire 2","103.5 PL",,FMN,BM,Fire-Tac
155.115000,0.00000,KNIR645,"Pleasant Valley","Outdoor Warning Sirens","PlsntVally Siren",,,Telm,M,"Emergency Ops"
155.340000,0.00000,KDX974,"Liberty Hospital","Patient Reports",HEAR340,,,FMN,BM,Hospital
155.340000,0.00000,KDU609,"St Lukes Northland Hospital (Smithville)","Patient Reports",HEAR340,,,FMN,B,Hospital
