Decimal,Hex,Alpha Tag,Mode,Description,Tag,Category
110,06e,"Shawnee KS Ops","T","Shawnee KS Operations","Utilities","All (update to system)"
210,0d2,"KC Metro","T","Kansas City Metro operations","Utilities","All (update to system)"
216,0d8,"MO Metro","T","Missouri Metro Operations","Utilities","All (update to system)"
219,0db,"MO West","T","Missouri West operations","Utilities","All (update to system)"
