Decimal,Hex,Alpha Tag,Mode,Description,Tag,Category
101,065,"Security","T","Security","Security","All"
102,066,"Maintenance","T","Maintenance","Business","All"
106,06a,"Casino 106","T","Casino","Business","All"
107,06b,"Slot Ops 107","T","Slot Ops","Business","All"
