Decimal,Hex,Alpha Tag,Mode,Description,Tag,Category
101,065,"PROD 101","T","Production Operations","Business","All"
102,066,"PROD 102","T","Production Operations","Business","All"
110,06e,"PROD 110","T","Production Operations","Business","All"
111,06f,"PROD 111","T","Production Operations","Business","All"
112,070,"PROD 112","T","Production Operations","Business","All"
113,071,"PROD 113","T","Production Operations","Business","All"
114,072,"PROD 114","T","Production Operations","Business","All"
115,073,"PROD 115","T","Production Operations","Business","All"
117,075,"PROD 117","T","Production Operations","Business","All"
119,077,"PROD 119","T","Production Operations","Business","All"
120,078,"PROD 120","T","Production Operations","Business","All"
121,079,"PROD 121","T","Production Operations","Business","All"
122,07a,"PROD 122","T","Production Operations","Business","All"
124,07c,"PROD 124","T","Production Operations","Business","All"
125,07d,"PROD 125","T","Production Operations","Business","All"
126,07e,"PROD 126","T","Production Operations","Business","All"
127,07f,"PROD 127","T","Production Operations","Business","All"
128,080,"PROD 128","T","Production Operations","Business","All"
129,081,"PROD 129","T","Production Operations","Business","All"
132,084,"PROD 132","T","Production Operations","Business","All"
135,087,"PROD 135","T","Production Operations","Business","All"
137,089,"PROD 137","T","Production Operations","Business","All"
139,08b,"PROD 139","T","Production Operations","Business","All"
140,08c,"PROD 140","T","Production Operations","Business","All"
