Site Dec,Site Hex,Description,County Name,Lat,Lon,Range,Frequencies
001,1,"Abilene ","Dickinson",38.88,-97.21,20,935.762500c,936.212500
002,2,"Atchison ","Atchison",39.56,-95.255,20,936.050000c,936.300000,936.450000
003,3,"Atlanta ","Butler",37.48,-96.77,20,935.287500c
004,4,"Beaumont ","Butler",37.63,-96.54,20,935.312500c,935.462500,935.162500c
005,5,"Blue Rapids","Marshall",39.70669,-96.55639,20,935.275000c,935.425000,935.750000
006,6,"Hiawatha ","Brown",39.82,-95.545,20,935.237500c,935.387500c
007,7,"Caney ","Montgomery",37.037,-95.89,20,935.300000c,935.450000
008,8,"Cherryvale ","Montgomery",37.25,-95.52,20,935.787500c,935.950000,936.100000
009,9,"Clay Center","Clay",39.36472,-97.0925,20,935.250000c,935.400000,935.550000
010,A,"Council Grove ","Morris",38.67,-96.465,20,935.562500c
011,B,"Mulvane ","Sedgwick",37.51,-97.12,20,935.637500c,939.512500
012,C,"Eskridge ","Wabaunsee",38.87,-96.14,20,935.237500c,935.537500c,935.737500
013,D,"Eureka ","Greenwood",37.927,-96.245,20,935.412500,935.762500c,935.912500
014,E,"Florence ","Marion",38.245,-97,20,935.212500c,935.562500c
015,F,"Fort Scott ","Bourbon",37.785,-94.7,20,935.300000c,935.150000c
016,10,"Herrington","Morris",38.63222,-96.89222,20,935.150000c,935.300000c
017,11,"McPherson","McPherson",38.47319,-97.6475,20,935.650000c,935.800000c,935.962500
018,12,"La Cygne Generating Station","Linn",38.34716,-94.63688,20,936.300000,936.450000c,939.737500c
019,13,"Hutchinson","Reno",38.05783,-98.02394,20,935.250000c,935.400000,935.550000c,935.712500
020,14,"Jeffrey Energy Center (St. Marys)","Pottawatomie",39.28528,-96.11583,20,935.200000c,935.350000c,935.500000,935.662500
021,15,"Kansas City, KS","Wyandotte",39.11,-94.78,20,936.037500c,936.262500c,936.412500
022,16,"Seneca","Nemaha",39.73889,-95.92861,20,935.787500c,936.100000
023,17,"Marysville","Marshall",39.82111,-96.64222,20,935.150000c,935.300000,935.450000
024,18,"Emporia ","Lyon",38.445,-96.06,20,935.175000c,935.325000c,935.625000
025,19,"Lawrence Energy Center","Douglas",39.005,-95.27,20,936.087500c,936.287500
026,1A,"Elsmore ","Allen",37.83,-95.16,20,935.737500c,936.312500c,936.462500
027,1B,"El Dorado ","Butler",37.825,-96.925,20,935.237500c,935.537500c,935.737500
028,1C,"Moline","Elk",37.33889,-96.32583,20,935.487500,935.187500c
029,1D,"Murdock","Kingman",37.61778,-97.93639,20,935.187500c,935.337500c,935.487500
030,1E,"Neosho KS","Labette",37.31,-95.11,20,935.175000c,935.325000c,935.475000
031,1F,"Newton ","Harvey",38.04,-97.35,20,935.275000c,935.862500
032,20,"Ottawa","Franklin",38.56471,-95.191,22,935.800000c,935.962500,936.112500
033,21,"Leavenworth ","Leavenworth",39.3,-94.94,20,935.187500c,935.337500
034,22,"Pittsburg ","Crawford",37.385,-94.71,20,935.200000c,935.350000c,935.662500
035,23,"North Wichita ","Sedgwick",37.765,-97.355,20,935.175000c,935.325000,935.625000,935.787500c,935.950000
036,24,"Salina ","Saline",38.93,-97.59,20,935.175000c,935.325000c,935.475000
037,25,"Shawnee ","Johnson",38.97,-94.86,20,935.275000c,935.425000c,935.575000,935.862500
038,26,"Arkansas City ","Cowley",37.08,-96.935,20,935.250000c,935.400000c,935.550000
039,27,"Stagg Hill/Manhattan ","Riley",39.145,-96.52,20,935.225000c,935.375000c,935.687500
040,28,"Topeka ","Shawnee",39.05,-95.675,20,935.150000c,935.300000c,935.600000,935.762500,935.912500
041,29,"Wellington ","Sumner",37.26,-97.46,20,935.212500c
042,2A,"Wichita ","Sedgwick",37.7,-97.32,20,935.225000c,935.375000c,935.525000,936.000000
043,2B,"Yates Center ","Woodson",37.85,-95.73,20,935.837500c,936.212500
044,2C,"Burlington ","Coffey",38.245,-95.685,20,935.250000c,935.437500c,936.237500
045,2D,"Belton (*)","Cass",38.81,-94.51,20,935.562500c,935.850000c,936.100000c
046,2E,"Blue Springs (*)","Jackson",39.03436,-94.22938,20,935.450000,935.600000,935.762500c
048,30,"Butler (*)","Bates",38.18,-94.315,20,935.837500,936.000000c,939.787500c
049,31,"Clinton (*)","Henry",38.38213,-93.77036,20,935.312500,935.612500c
051,33,"Coloma","Carroll",39.53947,-93.61967,20,935.425000,935.862500c
052,34,"Fayette","Howard",39.16364,-92.75019,20,935.300000,935.825000c
053,35,"Fayetteville (*)","Johnson",38.86419,-93.73466,20,935.337500,939.525000c
055,37,"Garden City (*)","Cass",38.55194,-94.1575,20,936.025000,936.225000,936.375000c
056,38,"Gardner(*)","Johnson",38.78666,-94.99138,20,935.612500,935.775000c,935.925000c
059,3B,"Greenwood (*)","Jackson",38.86147,-94.29647,20,935.537500,935.737500,935.975000c
060,3C,"Harper (*)","Benton",38.14622,-93.29238,20,935.762500c
061,3D,"Kansas City MO Downtown","Jackson",39.10366,-94.57297,20,935.350000,935.500000,935.662500,935.812500c
