"Frequency Output","Frequency Input","FCC Callsign",Agency/Category,County,Description,"Alpha Tag","PL Output Tone","PL Input Tone",Mode,"Class Station Code",Tag
122.800000,0.00000,,"Council Bluffs Municipal Airport (CBF) Air Traffic Control",Statewide,"Common Traffic Advisory Frequency (CTAF)",CTAF,CSQ,,AM,BM,Aircraft
122.800000,0.00000,,"Waverly Municipal Airport (C25) Air Traffic Control",Statewide,"Waverly Municipal Airport UNICOM / CTAF","C25 - UNICOM",CSQ,,AM,BM,Aircraft
122.800000,0.00000,,"Marshalltown Municipal Airport (MIW) Blank",Statewide,"Common Traffic Advisory Frequency","MIW CTAF/UNICOM",CSQ,,AM,M,Aircraft
122.900000,0.00000,,"Airports Operations",Statewide,Unicom,AnkenyUnicom,CSQ,,AM,M,Aircraft
122.900000,0.00000,,"Corning Municipal Airport (CRZ) Air Traffic Control",Statewide,Tower,Tower,CSQ,,AM,BM,Aircraft
122.950000,0.00000,,"Des Moines International Airport (DSM) Air Traffic Control",Statewide,Unicom,Unicom,CSQ,,AM,BM,Aircraft
122.950000,0.00000,,"Waterloo Regional Airport (ALO) Air Traffic Control",Statewide,Unicom,ALO-Unicom,CSQ,,AM,BM,Aircraft
122.950000,0.00000,,"The Eastern Iowa Airport (CID) Air Traffic Control",Statewide,Unicom,CID-UNICOM,CSQ,,AM,BM,Aircraft
122.950000,0.00000,,"Dubuque Regional Airport (DBQ) Air Traffic Control",Statewide,"Dubuque Unicom / University of Dubuque Flight Operations","DBQ - Unicom",CSQ,,AM,BM,Aircraft
123.000000,0.00000,,"Southeast Iowa Regional Airport (BRL) Aeronautical Radio",Statewide,Unicom,Unicom,CSQ,,AM,BM,Aircraft
123.000000,0.00000,,"Davenport Municipal Airport (DVN) Air Traffic Control",Statewide,"Davenport Common Traffic Advisory Frequency / Unicom",CTAF/UNICOM,CSQ,,AM,,Aircraft
123.000000,0.00000,,"Airports Spencer Airport",Statewide,Unicom,SpencrUnicom,CSQ,,AM,M,Aircraft
123.050000,0.00000,,"Medevac Life Flight - Des Moines",Statewide,"Used to coordinate air traffic control in downtown Des Moines",LifeFlightAM,CSQ,,AM,M,Aircraft
123.050000,0.00000,,"Medevac Mercy Air One - Des Moines",Statewide,"Used to coordinate air traffic control in downtown Des Moines","Mercy 1 AM",CSQ,,AM,M,Aircraft
123.450000,0.00000,,"Waterloo Regional Airport (ALO) Aviation - Military",Statewide,"Air National Guard Operations","ANG OPS",CSQ,,AM,BM,Aircraft
123.900000,0.00000,,"Des Moines International Airport (DSM) Air Traffic Control",Statewide,Approach,Approach,CSQ,,AM,BM,Aircraft
124.150000,0.00000,,"The Eastern Iowa Airport (CID) Air Traffic Control",Statewide,"Automatic Terminal Information Service",CID-ATIS,CSQ,,AM,BM,Aircraft
124.500000,0.00000,,"Council Bluffs Municipal Airport (CBF) Air Traffic Control",Statewide,"Omaha Approach/Departure",Approach/Dep,CSQ,,AM,BM,Aircraft
124.750000,0.00000,,"Corning Municipal Airport (CRZ) Air Traffic Control",Statewide,"Automated Surface Observing System (ASOS)",ASOS,CSQ,,AM,B,Aircraft
125.075000,0.00000,,"Waterloo Regional Airport (ALO) Air Traffic Control",Statewide,Tower,"ALO - Tower",CSQ,,AM,BM,Aircraft
125.075000,0.00000,,"Waterloo Regional Airport (ALO) Air Traffic Control",Statewide,"Common Traffic Advisory Frequency",ALO-CTAF,CSQ,,AM,BM,Aircraft
125.450000,0.00000,,"The Eastern Iowa Airport (CID) Air Traffic Control",Statewide,"Clearance Delivery","CID-CL DELIV",CSQ,,AM,BM,Aircraft
125.950000,0.00000,,"Davenport Municipal Airport (DVN) Air Traffic Control",Statewide,"Quad Cities Approach / Departure (Operates 0500 - 2330)","QC APP/DEPT",CSQ,,AM,,Aircraft
126.575000,0.00000,,"Council Bluffs Municipal Airport (CBF) Air Traffic Control",Statewide,"Automated Weather Observing System (AWOS)",AWOS,CSQ,,AM,B,Aircraft
126.625000,0.00000,,"Airports Spencer Airport",Statewide,"Automated Weather Observing Station","Spencer AWOS",CSQ,,AM,B,Aircraft
126.750000,0.00000,,"Waterloo Regional Airport (ALO) Air Traffic Control",Statewide,"Approach/Departure - Chicago","CHI ARTCC",CSQ,,AM,BM,Aircraft
126.750000,0.00000,,"Waterloo Regional Airport (ALO) Air Traffic Control",Statewide,"Basic Radar Service","ALO - Radar",CSQ,,AM,BM,Aircraft
126.750000,0.00000,,"Waverly Municipal Airport (C25) Air Traffic Control",Statewide,"Chicago ARTCC Approach / Departure","CHI ARTCC",CSQ,,AM,BM,Aircraft
127.250000,0.00000,,"Dubuque Regional Airport (DBQ) Air Traffic Control",Statewide,"Dubuque Automatic Terminal Information Service","DBQ - ATIS",CSQ,,AM,BM,Aircraft
128.325000,0.00000,,"Marshalltown Municipal Airport (MIW) Blank",Statewide,"Surface Weather Observation Station","MIW ASOS",CSQ,,AM,B,Aircraft
129.450000,0.00000,WFJ8,"The Eastern Iowa Airport (CID) Airline Operations",Statewide,"ARINC San Francisco Radio","ARINC SF RADIO",CSQ,,AM,BM,Business
130.525000,0.00000,KKP6,"Des Moines International Airport (DSM) Misc",Statewide,"Delta Air Lines operations","DAL Ops DSM",CSQ,,AM,BM,Business
130.575000,0.00000,KCB5,"Des Moines International Airport (DSM) Misc",Statewide,"Modern Aviation","Modern Aviation",CSQ,,AM,M,Business
131.000000,0.00000,,"The Eastern Iowa Airport (CID) Air Traffic Control",Statewide,ASRI,"SIGNATURE ASRI",CSQ,,AM,BM,Aircraft
131.000000,0.00000,KUN2,"Des Moines International Airport (DSM) Misc",Statewide,"Signature Aviation","Signature Aviati",CSQ,,AM,RM,Business
131.175000,0.00000,WJK8,"Des Moines International Airport (DSM) Misc",Statewide,"Frontier Airlines F9 Ops","Frontier F9",CSQ,,AM,RM,Aircraft
132.025000,0.00000,,"Ames Municipal Airport",Story,"Ames Municipal Airport - Automated Weather","AMA WX ASOS",CSQ,,AM,BM,Aircraft
132.800000,0.00000,,"The Eastern Iowa Airport (CID) Air Traffic Control",Statewide,"Secondary Approach / Departure service by Chicago ARTCC when CID Tower is Closed",CID-APP/DEP,CSQ,,AM,BM,Aircraft
133.950000,0.00000,,"Dubuque Regional Airport (DBQ) Air Traffic Control",Statewide,"Dubuque Departure / Approach",DBQ-DEP/APP,CSQ,,AM,BM,Aircraft
