Decimal,Hex,Alpha Tag,Mode,Description,Tag,Category
6001,1771,"Dispatch","T","Dispatch","Transportation","All"
6002,1772,"Fleet Maint","T","Fleet Maintenance","Transportation","All"
6601,19c9,"Supervisor","T","Supervisor","Transportation","All"
