Decimal,Hex,Alpha Tag,Mode,Description,Tag,Category
1,001,"Security","T","T-Mobile Security","Security","ALL Talkgroups"
9,009,"Maintenance","T","T-Mobile Maintenance","Business","ALL Talkgroups"
