Decimal,Hex,Alpha Tag,Mode,Description,Tag,Category
100,064,"WHQ Security","T","World Headquarters Security","Security","All"
101,065,"IC Security","T","Innovations Campus Security","Security","All"
105,069,"Malvern Security","T","Malvern, PA Campus Security","Security","All"
