Decimal,Hex,Alpha Tag,Mode,Description,Tag,Category
2,002,"Local 2","T","Local 2","Ham","All"
8,008,"Cluster","T","Used in local ares to cluster repeaters - check locally","Ham","All"
9,009,"Local 9 ","T","Local 9 ","Ham","All"
91,05b,"World WIde","T","World Wide","Ham","All"
93,05d,"North America","T","North America","Ham","All"
3105,c21,"Arkansas","T","Arkansas","Ham","All"
3117,c2d,"Illinois","T","Illinois","Ham","All"
3120,c30,"Kansas","T","Kansas","Ham","All"
3129,c39,"Missouri ","T","Missouri ","Ham","All"
3140,c44,"Oklahoma","T","Oklahoma","Ham","All"
3169,c61,"Midwest","T","Midwest","Ham","All"
31051,794b,"ARWX","T","Arkansas Weather","Ham","All"
31171,79c3,"Illinois Link","T","Illinois Link","Ham","All"
31201,79e1,"BackYard R Group","T","Back Yard Repeater Group (BYRG)","Ham","All"
31205,79e5,"KC SkyWarn","T","KC SkyWarn","Ham","All"
31290,7a3a,"Missouri ARES","T","Missouri ARES (Amateur Radio Emergency Services)","Ham","All"
31291,7a3b,"Southwest MO","T","Southwest Missouri (SWMO) ","Ham","All"
31292,7a3c,"St Louis Metro A","T","St. Louis Metro [STLMEtro]","Ham","All"
31293,7a3d,"Branson","T","Branson","Ham","All"
31294,7a3e,"NW Missouri","T","Northwest Missouri","Ham","All"
31295,7a3f,"SE Missouri","T","Southeast Missouri","Ham","All"
31296,7a40,"Central Missouri","T","Central Missouri","Ham","All"
31297,7a41,"SW MO SkyWarn","T","Southwest Missouri SkyWarn (SWMO SkyWarn)","Ham","All"
31298,7a42,"KCN ARES","T","KCN ARES (Kansas City North Amateur Radio Emergency Services)","Ham","All"
31299,7a43,"Missouri Tac","T","Talk-Around Channel (TAC)","Ham","All"
313136,4c730,"St Louis Metro B","T","St Louis Metro","Ham","All"
